Date,centre,Price
06-01-93,DELHI,520.0
13-01-93,DELHI,500.0
20-01-93,DELHI,510.0
27-01-93,DELHI,570.0
03-02-93,DELHI,515.0
10-02-93,DELHI,505.0
17-02-93,DELHI,505.0
24-02-93,DELHI,510.0
03-03-93,DELHI,510.0
10-03-93,DELHI,510.0
17-03-93,DELHI,510.0
24-03-93,DELHI,510.0
31-03-93,DELHI,520.0
07-04-93,DELHI,520.0
14-04-93,DELHI,520.0
21-04-93,DELHI,540.0
28-04-93,DELHI,540.0
05-05-93,DELHI,550.0
12-05-93,DELHI,550.0
19-05-93,DELHI,567.0
26-05-93,DELHI,560.0
02-06-93,DELHI,570.0
09-06-93,DELHI,575.0
16-06-93,DELHI,575.0
23-06-93,DELHI,580.0
30-06-93,DELHI,580.0
07-07-93,DELHI,580.0
14-07-93,DELHI,570.0
21-07-93,DELHI,570.0
28-07-93,DELHI,570.0
04-08-93,DELHI,600.0
11-08-93,DELHI,600.0
18-08-93,DELHI,600.0
25-08-93,DELHI,600.0
01-09-93,DELHI,600.0
08-09-93,DELHI,600.0
15-09-93,DELHI,600.0
22-09-93,DELHI,620.0
29-09-93,DELHI,620.0
06-10-93,DELHI,610.0
13-10-93,DELHI,620.0
20-10-93,DELHI,620.0
27-10-93,DELHI,620.0
03-11-93,DELHI,600.0
10-11-93,DELHI,600.0
17-11-93,DELHI,600.0
24-11-93,DELHI,600.0
01-12-93,DELHI,575.0
08-12-93,DELHI,570.0
15-12-93,DELHI,575.0
22-12-93,DELHI,575.0
29-12-93,DELHI,580.0
05-01-94,DELHI,580.0
12-01-94,DELHI,580.0
19-01-94,DELHI,580.0
26-01-94,DELHI,580.0
02-02-94,DELHI,600.0
09-02-94,DELHI,620.0
16-02-94,DELHI,620.0
23-02-94,DELHI,610.0
02-03-94,DELHI,610.0
09-03-94,DELHI,600.0
16-03-94,DELHI,600.0
23-03-94,DELHI,600.0
30-03-94,DELHI,600.0
06-04-94,DELHI,600.0
13-04-94,DELHI,620.0
20-04-94,DELHI,625.0
27-04-94,DELHI,625.0
04-05-94,DELHI,625.0
11-05-94,DELHI,625.0
18-05-94,DELHI,625.0
25-05-94,DELHI,625.0
01-06-94,DELHI,610.0
08-06-94,DELHI,625.0
15-06-94,DELHI,625.0
22-06-94,DELHI,625.0
29-06-94,DELHI,625.0
06-07-94,DELHI,625.0
13-07-94,DELHI,610.0
20-07-94,DELHI,610.0
27-07-94,DELHI,620.0
03-08-94,DELHI,645.0
10-08-94,DELHI,645.0
17-08-94,DELHI,640.0
24-08-94,DELHI,640.0
31-08-94,DELHI,625.0
07-09-94,DELHI,625.0
14-09-94,DELHI,600.0
21-09-94,DELHI,625.0
28-09-94,DELHI,600.0
05-10-94,DELHI,600.0
19-10-94,DELHI,625.0
26-10-94,DELHI,615.0
02-11-94,DELHI,600.0
09-11-94,DELHI,600.0
16-11-94,DELHI,600.0
23-11-94,DELHI,650.0
30-11-94,DELHI,625.0
07-12-94,DELHI,600.0
21-12-94,DELHI,630.0
28-12-94,DELHI,630.0
04-01-95,DELHI,630.0
11-01-95,DELHI,630.0
18-01-95,DELHI,630.0
25-01-95,DELHI,630.0
01-02-95,DELHI,650.0
08-02-95,DELHI,650.0
15-02-95,DELHI,650.0
22-02-95,DELHI,660.0
08-03-95,DELHI,680.0
15-03-95,DELHI,680.0
22-03-95,DELHI,670.0
29-03-95,DELHI,660.0
05-04-95,DELHI,660.0
19-04-95,DELHI,650.0
26-04-95,DELHI,660.0
03-05-95,DELHI,650.0
10-05-95,DELHI,630.0
17-05-95,DELHI,630.0
24-05-95,DELHI,630.0
31-05-95,DELHI,620.0
07-06-95,DELHI,630.0
14-06-95,DELHI,630.0
21-06-95,DELHI,630.0
